id,name,price,original_price,discount_rate,rating_average,review_count,thumbnail_url,url_key,category_id,category_name
215867979,"Đầm linen nữ suông dài form rộng, Váy sơ mi thiết kế cổ tròn cài cúc tay lỡ nhiều màu lựa chọn Haint Boutique",360000,360000,0,2.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/98/16/9a/df77321992e4d0be0a5432b82be37324.jpg,dam-linen-nu-suong-dai-form-rong-vay-so-mi-thiet-ke-co-tron-cai-cuc-tay-lo-nhieu-mau-lua-chon-haint-boutique-p215867979,931,thoi_trang_nu
207272740,"Quần ống rộng, chất liệu Linen, quần kiểu nữ form rộng rãi, thoải mái NeSa Shop QKH.39",116000,229000,49,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/9e/50/53/2ab47c72af1c71bcb942e51f9508ae32.jpg,quan-ong-rong-chat-lieu-linen-quan-kieu-nu-form-rong-rai-thoai-mai-nesa-shop-qkh-39-p207272740,931,thoi_trang_nu
162173006,Áo Khoác Chống Nắng Nữ LUPERI ACN01 vải dày dặn chống tia UV gây hại cho da có khóa 2 bên tặng khẩu trang kháng khuẩn,385000,385000,0,5.0,16,https://salt.tikicdn.com/cache/280x280/ts/product/4e/c7/ef/b99283becb70ca2cde6821c8b77cfe2d.jpg,ao-khoac-chong-nang-nu-luperi-acn01-vai-day-dan-chong-tia-uv-gay-hai-cho-da-co-khoa-2-ben-tang-khau-trang-khang-khuan-p162173006,931,thoi_trang_nu
158732070,"❈✣♚Combo 10 quần lót nữ su đúc cao cấp không đường may, chất mát lạnh, mềm mịn, thoáng",117600,140000,16,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/9b/bf/07/9b2ca63c98048fedc6ca50e2d5aa319e.jpg,combo-10-quan-lot-nu-su-duc-cao-cap-khong-duong-may-chat-mat-lanh-mem-min-thoang-p158732070,931,thoi_trang_nu
101949408,Quần lót nữ Jones thun  lạnh ren 001,17000,17000,0,5.0,46,https://salt.tikicdn.com/cache/280x280/ts/product/76/40/b1/c1112fba612159bbfc9de91d9edc15b0.jpg,quan-lot-nu-jones-thun-lanh-ren-p101949408,931,thoi_trang_nu
84709814,Áo Thun Nữ Aaa Jeans Cao Cấp Organic Cotton,250000,250000,0,4.5,14,https://salt.tikicdn.com/cache/280x280/ts/product/53/9f/1e/084df5ea8259437c67c4996c52386dbf.jpg,ao-thun-nu-aaa-jeans-cao-cap-organic-cotton-p84709814,931,thoi_trang_nu
75382506,ÁO KHOÁC NỈ HOODIE FULL ZIP NAM NỮ HOOIDE Freesize dưới 65kg,310000,310000,0,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/b7/d8/91/b04e8090f859f489e645348070896bba.jpg,ao-khoac-ni-hoodie-full-zip-nam-nu-hooide-freesize-duoi-65kg-p75382506,931,thoi_trang_nu
70816541,"COMBO 5 quần đùi nữ May 10, quần mặc nhà, quần ngủ",135000,135000,0,4.6,1078,https://salt.tikicdn.com/cache/280x280/ts/product/82/6a/35/66c580fee6da1e244f59464af4a31002.jpg,combo-5-quan-dui-nu-may-10-quan-mac-nha-quan-ngu-p70816541,931,thoi_trang_nu
56930874,Combo 5 quần lót nữ Modal Miley Lingerie BCS0704 - XL,259000,259000,0,5.0,4,https://salt.tikicdn.com/cache/280x280/ts/product/e8/10/ef/e90ffc6d266e2034982023a1c64145b9.png,combo-5-quan-lot-nu-modal-miley-lingerie-bcs0704-p56930874,931,thoi_trang_nu
53050512," COMBO 10 QUẦN LÓT NỮ CAO CẤP, QUẦN CHÍP NỮ SP-0298",245000,245000,0,4.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/7c/d3/bd/e9f0df5c16bad0a7dd980948e4d4bfd1.jpg,combo-10-quan-lot-nu-cao-cap-quan-chip-nu-sp-0298-p53050512,931,thoi_trang_nu
